author	id
Bill Skarsgard	1178
Bill Toomey	1179
Bill Vaughan	1180
Bill Veeck	1181
Bill Walton	1182
Bill Watterson	1183
Bill Williams	1184
Bill Wyman	1185
Bille August	1186
Billie Holiday	1187
Billie Jean King	1188
Billie Joe Armstrong	1189
Billy Baldwin	1190
Billy Barty	1191
Billy Bob Thornton	1192
Billy Bragg	1193
Billy Burke	1194
Billy Bush	1195
Billy Campbell	1196
Billy Carter	1197
Billy Connolly	1198
Billy Corgan	1199
Billy Crystal	1200
Billy Dee Williams	1201
Billy Gardell	1202
Billy Graham	1203
Billy Idol	1204
Billy Joel	1205
Billy Ocean	1206
Billy Preston	1207
Billy Ray Cyrus	1208
Billy Sheehan	1209
Billy Sherwood	1210
Billy Strayhorn	1211
Billy Sunday	1212
Billy Tauzin	1213
Billy West	1214
Billy Wilder	1215
Billy Zane	1216
Bindi Irwin	1217
Bing Crosby	1218
Birch Bayh	1219
Birdy	1220
Bjarne Stroustrup	1221
Bjork	1222
Bjorn Borg	1223
Bjorn Lomborg	1224
Bjorn Ulvaeus	1225
Black Elk	1226
Black Kettle	1227
Blaine Lee	1228
Blair Underwood	1229
Blaise Pascal	1230
Blake Edwards	1231
Blake Lively	1232
Blake Shelton	1233
Blanche Lincoln	1234
Blanka Vlasic	1235
Blu Cantrell	1236
Bo Bennett	1237
Bo Derek	1238
Bo Jackson	1239
Bob Balaban	1240
Bob Barker	1241
Bob Barr	1242
Bob Beamon	1243
Bob Beauprez	1244
Bob Brown	1245
Bob Corker	1246
Bob Cousy	1247
Bob Dole	1248
Bob Dylan	1249
Bob Edwards	1250
Bob Ehrlich	1251
Bob Etheridge	1252
Bob Feller	1253
Bob Filner	1254
Bob Geldof	1255
Bob Goodlatte	1256
Bob Graham	1257
Bob Greene	1258
Bob Hawke	1259
Bob Hayes	1260
Bob Hope	1261
Bob Hoskins	1262
Bob Iger	1263
Bob Kane	1264
Bob Keeshan	1265
Bob Kerrey	1266
Bob Lemon	1267
Bob Livingston	1268
Bob Marley	1269
